run_id,seed,param_name,param_value,n_pop,n_gen,p_mut,p_cx,selection_method,crossover_method,local_search_tries,local_moves,elite,tournament_k,time_s,best_length,hist_path,tour_path
53,54977600,selection_method,roulette,80,200,0.05,0.9,roulette,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,14.681825160980225,353888.23006040516,results_demo\hist_53.json,results_demo\tour_53.json
54,54992290,selection_method,rank,80,200,0.05,0.9,rank,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,14.979458332061768,343665.18876252667,results_demo\hist_54.json,results_demo\tour_54.json
55,55007275,selection_method,rank,80,200,0.05,0.9,rank,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,16.225863456726074,308245.9007489276,results_demo\hist_55.json,results_demo\tour_55.json
56,55023512,selection_method,rank,80,200,0.05,0.9,rank,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,14.869614124298096,338750.5784265291,results_demo\hist_56.json,results_demo\tour_56.json
57,55038389,crossover_method,pmx,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.488469362258911,222102.1997044229,results_demo\hist_57.json,results_demo\tour_57.json
58,55050885,crossover_method,pmx,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.576321363449097,209423.1569129652,results_demo\hist_58.json,results_demo\tour_58.json
59,55063470,crossover_method,pmx,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,13.29288363456726,184660.71791877324,results_demo\hist_59.json,results_demo\tour_59.json
60,55076766,crossover_method,ox,80,200,0.05,0.9,tournament,ox,5,"['swap', 'two_opt', 'insertion']",1,3,11.62861967086792,228695.65924119065,results_demo\hist_60.json,results_demo\tour_60.json
61,55088401,crossover_method,ox,80,200,0.05,0.9,tournament,ox,5,"['swap', 'two_opt', 'insertion']",1,3,10.448567390441895,247729.79176305124,results_demo\hist_61.json,results_demo\tour_61.json
62,55098853,crossover_method,ox,80,200,0.05,0.9,tournament,ox,5,"['swap', 'two_opt', 'insertion']",1,3,10.460215330123901,251310.60613408883,results_demo\hist_62.json,results_demo\tour_62.json
63,55109321,crossover_method,cx,80,200,0.05,0.9,tournament,cx,5,"['swap', 'two_opt', 'insertion']",1,3,11.412335872650146,262160.9755979918,results_demo\hist_63.json,results_demo\tour_63.json
64,55120741,crossover_method,cx,80,200,0.05,0.9,tournament,cx,5,"['swap', 'two_opt', 'insertion']",1,3,11.077563047409058,249127.62098946422,results_demo\hist_64.json,results_demo\tour_64.json
65,55131821,crossover_method,cx,80,200,0.05,0.9,tournament,cx,5,"['swap', 'two_opt', 'insertion']",1,3,11.430579423904419,238280.81244703516,results_demo\hist_65.json,results_demo\tour_65.json
66,55143260,local_search_tries,0,80,200,0.05,0.9,tournament,pmx,0,"['swap', 'two_opt', 'insertion']",1,3,7.876620531082153,361898.0668720877,results_demo\hist_66.json,results_demo\tour_66.json
67,55151142,local_search_tries,0,80,200,0.05,0.9,tournament,pmx,0,"['swap', 'two_opt', 'insertion']",1,3,7.042592287063599,355725.24214196595,results_demo\hist_67.json,results_demo\tour_67.json
68,55158189,local_search_tries,0,80,200,0.05,0.9,tournament,pmx,0,"['swap', 'two_opt', 'insertion']",1,3,6.974116563796997,365498.0304109347,results_demo\hist_68.json,results_demo\tour_68.json
69,55165170,local_search_tries,5,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,14.214311122894287,209668.12392719174,results_demo\hist_69.json,results_demo\tour_69.json
70,55179391,local_search_tries,5,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.805959463119507,216099.86281227937,results_demo\hist_70.json,results_demo\tour_70.json
71,55192203,local_search_tries,5,80,200,0.05,0.9,tournament,pmx,5,"['swap', 'two_opt', 'insertion']",1,3,12.61575961112976,199052.05429014895,results_demo\hist_71.json,results_demo\tour_71.json
72,55204822,local_search_tries,20,80,200,0.05,0.9,tournament,pmx,20,"['swap', 'two_opt', 'insertion']",1,3,28.03331160545349,199085.13836390708,results_demo\hist_72.json,results_demo\tour_72.json
73,55232861,local_search_tries,20,80,200,0.05,0.9,tournament,pmx,20,"['swap', 'two_opt', 'insertion']",1,3,27.592180013656616,178190.10420842448,results_demo\hist_73.json,results_demo\tour_73.json
74,55260457,local_search_tries,20,80,200,0.05,0.9,tournament,pmx,20,"['swap', 'two_opt', 'insertion']",1,3,28.387696981430054,183166.63069096036,results_demo\hist_74.json,results_demo\tour_74.json
75,55288852,local_search_tries,50,80,200,0.05,0.9,tournament,pmx,50,"['swap', 'two_opt', 'insertion']",1,3,56.83841323852539,162016.27380641503,results_demo\hist_75.json,results_demo\tour_75.json
76,55345696,local_search_tries,50,80,200,0.05,0.9,tournament,pmx,50,"['swap', 'two_opt', 'insertion']",1,3,56.666897773742676,141422.48523254282,results_demo\hist_76.json,results_demo\tour_76.json
77,55402368,local_search_tries,50,80,200,0.05,0.9,tournament,pmx,50,"['swap', 'two_opt', 'insertion']",1,3,57.05962610244751,139168.53736526408,results_demo\hist_77.json,results_demo\tour_77.json
